SLUG GALERIE,ORDRE,SRC,ALT,LÉGENDE FR,LÉGENDE EN,TAG FR,TAG EN
## Identifiant de la galerie concernée (doit correspondre à la colonne SLUG de galleries.csv),Ordre d'affichage dans la galerie (1=première photo),Chemin de la photo depuis la racine du site (ex: uploads/photo.jpg),Texte alternatif pour l'accessibilité et le SEO,Légende affichée sous la photo en français (visible en mode lightbox),Légende affichée sous la photo en anglais,Badge/tag affiché sur la miniature en français (ex: Gala · 2026),Badge/tag affiché sur la miniature en anglais
begins,1,uploads/begins-2025-extra-01.jpg,Begins 2025 — photo 1,,,,
begins,2,uploads/begins-2025-extra-02.jpg,Begins 2025 — photo 2,,,,
begins,3,uploads/begins-2025-01.jpg,Begins 2025 — photo 3,,,,
begins,4,uploads/begins-2025-extra-04.jpg,Begins 2025 — photo 4,,,,
begins,5,uploads/begins-2025-extra-05.jpg,Begins 2025 — photo 5,,,,
begins,6,uploads/begins-2025-02.jpg,Begins 2025 — photo 6,,,,
begins,7,uploads/begins-2025-03.jpg,Begins 2025 — photo 7,,,,
begins,8,uploads/begins-2025-extra-08.jpg,Begins 2025 — photo 8,,,,
begins,9,uploads/begins-2025-extra-09.jpg,Begins 2025 — photo 9,,,,
begins,10,uploads/begins-2025-extra-10.jpg,Begins 2025 — photo 10,,,,
begins,11,uploads/begins-2025-04.jpg,Begins 2025 — photo 11,,,,
begins,12,uploads/begins-2025-extra-12.jpg,Begins 2025 — photo 12,,,,
begins,13,uploads/begins-2025-05.jpg,Begins 2025 — photo 13,,,,
begins,14,uploads/begins-2025-extra-14.jpg,Begins 2025 — photo 14,,,,
begins,15,uploads/begins-2025-extra-15.jpg,Begins 2025 — photo 15,,,,
begins,16,uploads/begins-2025-06.jpg,Begins 2025 — photo 16,,,,
begins,17,uploads/begins-2025-extra-17.jpg,Begins 2025 — photo 17,,,,
begins,18,uploads/begins-2025-extra-18.jpg,Begins 2025 — photo 18,,,,
begins,19,uploads/begins-2025-extra-19.jpg,Begins 2025 — photo 19,,,,
begins,20,uploads/begins-2025-07.jpg,Begins 2025 — photo 20,,,,
begins,21,uploads/begins-2025-extra-21.jpg,Begins 2025 — photo 21,,,,
begins,22,uploads/begins-2025-08.jpg,Begins 2025 — photo 22,,,,
begins,23,uploads/begins-2025-extra-23.jpg,Begins 2025 — photo 23,,,,
begins,24,uploads/begins-2025-extra-24.jpg,Begins 2025 — photo 24,,,,
begins,25,uploads/begins-2025-09.jpg,Begins 2025 — photo 25,,,,
begins,26,uploads/begins-2025-extra-26.jpg,Begins 2025 — photo 26,,,,
begins,27,uploads/begins-2025-extra-27.jpg,Begins 2025 — photo 27,,,,
begins,28,uploads/begins-2025-extra-28.jpg,Begins 2025 — photo 28,,,,
begins,29,uploads/begins-2025-11.jpg,Begins 2025 — photo 29,,,,
begins,30,uploads/begins-2025-extra-30.jpg,Begins 2025 — photo 30,,,,
begins,31,uploads/begins-2025-extra-31.jpg,Begins 2025 — photo 31,,,,
begins,32,uploads/begins-2025-extra-32.jpg,Begins 2025 — photo 32,,,,
begins,33,uploads/begins-2025-extra-33.jpg,Begins 2025 — photo 33,,,,
begins,34,uploads/begins-2025-extra-34.jpg,Begins 2025 — photo 34,,,,
croisette,1,uploads/croisette-2025-01.jpg,La Croisette 2025 — photo 1,,,,
